Formulation_ID,endpoint,confidence,tier,근거인용문,사유,y,y_bin,y_src_detail,ct_cat,from_neg_recovery,y_conflict,quote_has_explicit_negative,quote_has_suspicious_marker,quote_has_no_data_marker
EyeIrritation6pack_PID1012,eye,medium,SOURCE_CONFLICT,,출처 간 서열 상충(y_conflict=True),NC,0.0,ntp_measured,NC,False,True,False,False,False
EyeIrritation6pack_PID1013,eye,high,NONE,,복구분 아님 · 출처 상충 없음 · CT 와 모순 없음,2B,1.0,ntp_measured,,False,False,False,False,False
EyeIrritation6pack_PID1016,eye,high,NONE,,복구분 아님 · 출처 상충 없음 · CT 와 모순 없음,2A,1.0,ntp_measured,,False,False,False,False,False
EyeIrritation6pack_PID1018,eye,high,NONE,,복구분 아님 · 출처 상충 없음 · CT 와 모순 없음,2B,1.0,ntp_measured,NC,False,False,False,False,False
EyeIrritation6pack_PID1019,eye,high,NONE,Eye contact Moderately irritating to the eyes.,복구분 아님 · 출처 상충 없음 · CT 와 모순 없음,2B,1.0,ntp_measured,,False,False,False,True,False
EyeIrritation6pack_PID102,eye,high,NONE,,복구분 아님 · 출처 상충 없음 · CT 와 모순 없음,NC,0.0,ntp_measured,,False,False,False,False,False
EyeIrritation6pack_PID1020,eye,high,NONE,,복구분 아님 · 출처 상충 없음 · CT 와 모순 없음,NC,0.0,ntp_measured,NC,False,False,False,False,False
EyeIrritation6pack_PID1021,eye,high,NONE,,복구분 아님 · 출처 상충 없음 · CT 와 모순 없음,2B,1.0,ntp_measured,1,False,False,False,False,False
EyeIrritation6pack_PID1022,eye,high,NONE,,복구분 아님 · 출처 상충 없음 · CT 와 모순 없음,NC,0.0,ntp_measured,NC,False,False,False,False,False
EyeIrritation6pack_PID1023,eye,high,NONE,,복구분 아님 · 출처 상충 없음 · CT 와 모순 없음,NC,0.0,ntp_measured,NC,False,False,False,False,False
EyeIrritation6pack_PID1024,eye,medium,SOURCE_CONFLICT,"2.1 Classification of the substance or mixture / Not a hazardous substance or mixture. / 2.2 GHS Label elements, including precautionary statements / Not a hazardous substance or mixture. / ... Serious eye damage/eye irritation / No data available",출처 간 서열 상충(y_conflict=True),2B,1.0,ntp_measured,,False,True,True,True,True
EyeIrritation6pack_PID1025,eye,high,NONE,,복구분 아님 · 출처 상충 없음 · CT 와 모순 없음,2B,1.0,ntp_measured,,False,False,False,False,False
EyeIrritation6pack_PID1026,eye,high,NONE,,복구분 아님 · 출처 상충 없음 · CT 와 모순 없음,2B,1.0,ntp_measured,,False,False,False,False,False
EyeIrritation6pack_PID1027,eye,high,NONE,"Classification of the Substance or Mixture (per Globally Harmonized System of Classification and Labeling of Chemicals (GHS), Ninth revised edition) Acute Toxicity - Oral: Category 5 Acute Toxicity – Inhalation: Category 4 Eye Irritation: Category 2B Skin Irritation: Category 3",복구분 아님 · 출처 상충 없음 · CT 와 모순 없음,2B,1.0,ntp_measured,,False,False,False,False,False
EyeIrritation6pack_PID1028,eye,high,NONE,,복구분 아님 · 출처 상충 없음 · CT 와 모순 없음,NC,0.0,ntp_measured,NC,False,False,False,False,False
EyeIrritation6pack_PID1029,eye,high,NONE,,복구분 아님 · 출처 상충 없음 · CT 와 모순 없음,NC,0.0,ntp_measured,,False,False,False,False,False
EyeIrritation6pack_PID103,eye,high,NONE,,복구분 아님 · 출처 상충 없음 · CT 와 모순 없음,NC,0.0,ntp_measured,NC,False,False,False,False,False
EyeIrritation6pack_PID1031,eye,medium,SOURCE_CONFLICT,,출처 간 서열 상충(y_conflict=True),1,1.0,ntp_measured,,False,True,False,False,False
EyeIrritation6pack_PID1032,eye,medium,SOURCE_CONFLICT,"Serious Eye Damage/Irritation / Based on available data, the classification criteria are not met.",출처 간 서열 상충(y_conflict=True),2B,1.0,ntp_measured,NC,False,True,True,False,False
EyeIrritation6pack_PID1033,eye,high,NONE,,복구분 아님 · 출처 상충 없음 · CT 와 모순 없음,2B,1.0,ntp_measured,,False,False,False,False,False
EyeIrritation6pack_PID1034,eye,high,NONE,,복구분 아님 · 출처 상충 없음 · CT 와 모순 없음,1,1.0,ntp_measured,2A,False,False,False,False,False
EyeIrritation6pack_PID1037,eye,high,NONE,,복구분 아님 · 출처 상충 없음 · CT 와 모순 없음,2B,1.0,ntp_measured,,False,False,False,False,False
EyeIrritation6pack_PID1038,eye,high,NONE,,복구분 아님 · 출처 상충 없음 · CT 와 모순 없음,NC,0.0,ntp_measured,,False,False,False,False,False
EyeIrritation6pack_PID1039,eye,medium,SOURCE_CONFLICT,(c) serious eye damage/irritation: not irritant,출처 간 서열 상충(y_conflict=True),NC,0.0,ntp_measured,NC,False,True,False,False,False
EyeIrritation6pack_PID104,eye,medium,SOURCE_CONFLICT,,출처 간 서열 상충(y_conflict=True),2B,1.0,ntp_measured,,False,True,False,False,False
EyeIrritation6pack_PID1040,eye,medium,SOURCE_CONFLICT,Serious eye damage/eye irritation / Product: / Result : No eye irritation,출처 간 서열 상충(y_conflict=True),2B,1.0,ntp_measured,NC,False,True,True,False,False
EyeIrritation6pack_PID1042,eye,medium,SOURCE_CONFLICT,,출처 간 서열 상충(y_conflict=True),2B,1.0,ntp_measured,2A,False,True,False,False,False
EyeIrritation6pack_PID1043,eye,medium,CT_CONTRADICTION,,CT baseline(GHS 가산법)은 양성인데 최종 라벨은 음성 — 상충,NC,0.0,ntp_measured,2A,False,False,False,False,False
EyeIrritation6pack_PID1044,eye,medium,SOURCE_CONFLICT,Eye irritation: Category 2A ... H319 Causes serious eye irritation.,출처 간 서열 상충(y_conflict=True),2B,1.0,ntp_measured,,False,True,False,True,False
EyeIrritation6pack_PID1045,eye,high,NONE,,복구분 아님 · 출처 상충 없음 · CT 와 모순 없음,NC,0.0,ntp_measured,NC,False,False,False,False,False
EyeIrritation6pack_PID1048,eye,high,NONE,,복구분 아님 · 출처 상충 없음 · CT 와 모순 없음,1,1.0,ntp_measured,NC,False,False,False,False,False
EyeIrritation6pack_PID105,eye,medium,SOURCE_CONFLICT,,출처 간 서열 상충(y_conflict=True),2B,1.0,ntp_measured,,False,True,False,False,False
EyeIrritation6pack_PID1050,eye,high,NONE,,복구분 아님 · 출처 상충 없음 · CT 와 모순 없음,NC,0.0,sds_2nd_sec11,,False,False,False,False,False
EyeIrritation6pack_PID1051,eye,medium,SOURCE_CONFLICT,,출처 간 서열 상충(y_conflict=True),2A,1.0,ntp_measured,NC,False,True,False,False,False
EyeIrritation6pack_PID1052,eye,high,NONE,,복구분 아님 · 출처 상충 없음 · CT 와 모순 없음,NC,0.0,ntp_measured,NC,False,False,False,False,False
EyeIrritation6pack_PID1053,eye,high,NONE,,복구분 아님 · 출처 상충 없음 · CT 와 모순 없음,NC,0.0,ntp_measured,,False,False,False,False,False
EyeIrritation6pack_PID1054,eye,high,NONE,,복구분 아님 · 출처 상충 없음 · CT 와 모순 없음,NC,0.0,ntp_measured,,False,False,False,False,False
EyeIrritation6pack_PID1055,eye,medium,SOURCE_CONFLICT,· on the eye: No irritating effect.,출처 간 서열 상충(y_conflict=True),2B,1.0,ntp_measured,NC,False,True,True,False,False
EyeIrritation6pack_PID1056,eye,high,NONE,,복구분 아님 · 출처 상충 없음 · CT 와 모순 없음,NC,0.0,ntp_measured,,False,False,False,False,False
EyeIrritation6pack_PID1059,eye,high,NONE,,복구분 아님 · 출처 상충 없음 · CT 와 모순 없음,1,1.0,ntp_measured,NC,False,False,False,False,False
EyeIrritation6pack_PID1060,eye,high,NONE,Eye / Species: rabbit / Result: non-irritant / Method: OECD Guideline 405,복구분 아님 · 출처 상충 없음 · CT 와 모순 없음,NC,0.0,ntp_measured,NC,False,False,True,False,False
EyeIrritation6pack_PID1061,eye,medium,SOURCE_CONFLICT,,출처 간 서열 상충(y_conflict=True),2B,1.0,ntp_measured,NC,False,True,False,False,False
EyeIrritation6pack_PID1062,eye,medium,SOURCE_CONFLICT,"Eye irritation, Category 2 ... H319 Causes serious eye irritation",출처 간 서열 상충(y_conflict=True),2B,1.0,ntp_measured,,False,True,False,True,False
EyeIrritation6pack_PID1064,eye,high,NONE,,복구분 아님 · 출처 상충 없음 · CT 와 모순 없음,2B,1.0,ntp_measured,,False,False,False,False,False
EyeIrritation6pack_PID107,eye,high,NONE,,복구분 아님 · 출처 상충 없음 · CT 와 모순 없음,2B,1.0,ntp_measured,,False,False,False,False,False
EyeIrritation6pack_PID110,eye,high,NONE,,복구분 아님 · 출처 상충 없음 · CT 와 모순 없음,1,1.0,ntp_measured,,False,False,False,False,False
EyeIrritation6pack_PID115,eye,high,NONE,,복구분 아님 · 출처 상충 없음 · CT 와 모순 없음,2B,1.0,ntp_measured,NC,False,False,False,False,False
EyeIrritation6pack_PID116,eye,medium,RECOVERED_negative,"Rabbit, Eye Irritation -   Not irritating",y=sds_v1 status='negative' 복구분(카테고리 미기재 → NC 보충),NC,0.0,sds_v1_negative_recovered,,True,False,True,False,False
EyeIrritation6pack_PID117,eye,high,NONE,,복구분 아님 · 출처 상충 없음 · CT 와 모순 없음,2B,1.0,ntp_measured,,False,False,False,False,False
EyeIrritation6pack_PID118,eye,medium,SOURCE_CONFLICT,Eye Dam./Irrit. 2 H319 Causes serious eye irritation.,출처 간 서열 상충(y_conflict=True),2B,1.0,ntp_measured,,False,True,False,True,False
EyeIrritation6pack_PID119,eye,high,NONE,,복구분 아님 · 출처 상충 없음 · CT 와 모순 없음,2A,1.0,ntp_measured,NC,False,False,False,False,False
EyeIrritation6pack_PID120,eye,high,NONE,,복구분 아님 · 출처 상충 없음 · CT 와 모순 없음,2B,1.0,ntp_measured,NC,False,False,False,False,False
EyeIrritation6pack_PID121,eye,high,NONE,,복구분 아님 · 출처 상충 없음 · CT 와 모순 없음,2A,1.0,ntp_measured,,False,False,False,False,False
EyeIrritation6pack_PID123,eye,high,NONE,,복구분 아님 · 출처 상충 없음 · CT 와 모순 없음,NC,0.0,ntp_measured,,False,False,False,False,False
EyeIrritation6pack_PID124,eye,medium,SOURCE_CONFLICT,,출처 간 서열 상충(y_conflict=True),2B,1.0,ntp_measured,NC,False,True,False,False,False
EyeIrritation6pack_PID125,eye,high,NONE,Eye Dam./Irrit. 1 H318 Causes serious eye damage.,복구분 아님 · 출처 상충 없음 · CT 와 모순 없음,1,1.0,ntp_measured,,False,False,False,True,False
EyeIrritation6pack_PID126,eye,high,NONE,,복구분 아님 · 출처 상충 없음 · CT 와 모순 없음,NC,0.0,ntp_measured,,False,False,False,False,False
EyeIrritation6pack_PID127,eye,high,NONE,,복구분 아님 · 출처 상충 없음 · CT 와 모순 없음,NC,0.0,ntp_measured,,False,False,False,False,False
EyeIrritation6pack_PID128,eye,medium,SOURCE_CONFLICT,"Assessment of irritating effects: / Not irritating to eyes and skin. The product has not been tested. The statement has been derived from substances/products of a similar structure or composition. /  / Experimental/calculated data: / ... / Serious eye damage/irritation /  rabbit: non-irritant (Guideline 92/69/EEC, B.5)",출처 간 서열 상충(y_conflict=True),1,1.0,ntp_measured,1,False,True,True,True,False
EyeIrritation6pack_PID131,eye,high,NONE,,복구분 아님 · 출처 상충 없음 · CT 와 모순 없음,2A,1.0,ntp_measured,,False,False,False,False,False
EyeIrritation6pack_PID132,eye,high,NONE,,복구분 아님 · 출처 상충 없음 · CT 와 모순 없음,2B,1.0,ntp_measured,,False,False,False,False,False
EyeIrritation6pack_PID134,eye,high,NONE,,복구분 아님 · 출처 상충 없음 · CT 와 모순 없음,NC,0.0,ntp_measured,,False,False,False,False,False
EyeIrritation6pack_PID137,eye,high,NONE,,복구분 아님 · 출처 상충 없음 · CT 와 모순 없음,2B,1.0,ntp_measured,NC,False,False,False,False,False
EyeIrritation6pack_PID138,eye,high,NONE,"Eye irritation (Category 2A), H319",복구분 아님 · 출처 상충 없음 · CT 와 모순 없음,2A,1.0,ntp_measured,,False,False,False,False,False
EyeIrritation6pack_PID142,eye,high,NONE,,복구분 아님 · 출처 상충 없음 · CT 와 모순 없음,2A,1.0,ntp_measured,,False,False,False,False,False
EyeIrritation6pack_PID143,eye,high,NONE,,복구분 아님 · 출처 상충 없음 · CT 와 모순 없음,2B,1.0,ntp_measured,NC,False,False,False,False,False
EyeIrritation6pack_PID144,eye,high,NONE,,복구분 아님 · 출처 상충 없음 · CT 와 모순 없음,NC,0.0,ntp_measured,NC,False,False,False,False,False
EyeIrritation6pack_PID145,eye,medium,SOURCE_CONFLICT,Eye Irrit. 2A H319 ... H319 Causes serious eye irritation.,출처 간 서열 상충(y_conflict=True),NC,0.0,ntp_measured,NC,False,True,False,True,False
EyeIrritation6pack_PID146,eye,high,NONE,,복구분 아님 · 출처 상충 없음 · CT 와 모순 없음,NC,0.0,ntp_measured,NC,False,False,False,False,False
EyeIrritation6pack_PID147,eye,high,NONE,,복구분 아님 · 출처 상충 없음 · CT 와 모순 없음,NC,0.0,ntp_measured,NC,False,False,False,False,False
EyeIrritation6pack_PID148,eye,high,NONE,,복구분 아님 · 출처 상충 없음 · CT 와 모순 없음,NC,0.0,ntp_measured,NC,False,False,False,False,False
EyeIrritation6pack_PID149,eye,high,NONE,,복구분 아님 · 출처 상충 없음 · CT 와 모순 없음,NC,0.0,ntp_measured,NC,False,False,False,False,False
EyeIrritation6pack_PID150,eye,high,NONE,,복구분 아님 · 출처 상충 없음 · CT 와 모순 없음,NC,0.0,ntp_measured,NC,False,False,False,False,False
EyeIrritation6pack_PID151,eye,high,NONE,,복구분 아님 · 출처 상충 없음 · CT 와 모순 없음,2B,1.0,ntp_measured,NC,False,False,False,False,False
EyeIrritation6pack_PID152,eye,high,NONE,,복구분 아님 · 출처 상충 없음 · CT 와 모순 없음,2B,1.0,ntp_measured,NC,False,False,False,False,False
EyeIrritation6pack_PID153,eye,medium,SOURCE_CONFLICT,,출처 간 서열 상충(y_conflict=True),2B,1.0,ntp_measured,NC,False,True,False,False,False
EyeIrritation6pack_PID154,eye,high,NONE,,복구분 아님 · 출처 상충 없음 · CT 와 모순 없음,2B,1.0,ntp_measured,NC,False,False,False,False,False
EyeIrritation6pack_PID155,eye,high,NONE,,복구분 아님 · 출처 상충 없음 · CT 와 모순 없음,2B,1.0,ntp_measured,NC,False,False,False,False,False
EyeIrritation6pack_PID157,eye,high,NONE,,복구분 아님 · 출처 상충 없음 · CT 와 모순 없음,1,1.0,ntp_measured,2A,False,False,False,False,False
EyeIrritation6pack_PID160,eye,medium,SOURCE_CONFLICT,"GHS Classification in accordance with 29 CFR 1910 (OSHA HCS) Eye irritation (Category 2A), H319",출처 간 서열 상충(y_conflict=True),2B,1.0,ntp_measured,,False,True,False,False,False
EyeIrritation6pack_PID167,eye,high,NONE,,복구분 아님 · 출처 상충 없음 · CT 와 모순 없음,2B,1.0,ntp_measured,,False,False,False,False,False
EyeIrritation6pack_PID168,eye,high,NONE,Serious eye damage/irritation : Not classified pH: 7 - 8,복구분 아님 · 출처 상충 없음 · CT 와 모순 없음,NC,0.0,ntp_measured,,False,False,True,False,False
EyeIrritation6pack_PID17,eye,high,NONE,,복구분 아님 · 출처 상충 없음 · CT 와 모순 없음,2B,1.0,ntp_measured,,False,False,False,False,False
EyeIrritation6pack_PID170,eye,high,NONE,Serious eye damage/eye irritation  / Eyes - Rabbit  / Result: Mild eye irritation  / (OECD Test Guideline 405),복구분 아님 · 출처 상충 없음 · CT 와 모순 없음,NC,0.0,ntp_measured,NC,False,False,False,False,False
EyeIrritation6pack_PID173,eye,high,NONE,,복구분 아님 · 출처 상충 없음 · CT 와 모순 없음,2B,1.0,ntp_measured,NC,False,False,False,False,False
EyeIrritation6pack_PID175,eye,high,NONE,,복구분 아님 · 출처 상충 없음 · CT 와 모순 없음,1,1.0,ntp_measured,NC,False,False,False,False,False
EyeIrritation6pack_PID176,eye,medium,SOURCE_CONFLICT,,출처 간 서열 상충(y_conflict=True),2B,1.0,ntp_measured,,False,True,False,False,False
EyeIrritation6pack_PID177,eye,medium,SOURCE_CONFLICT,,출처 간 서열 상충(y_conflict=True),2B,1.0,ntp_measured,,False,True,False,False,False
EyeIrritation6pack_PID178,eye,medium,SOURCE_CONFLICT,,출처 간 서열 상충(y_conflict=True),2B,1.0,ntp_measured,,False,True,False,False,False
EyeIrritation6pack_PID179,eye,medium,SOURCE_CONFLICT,,출처 간 서열 상충(y_conflict=True),2B,1.0,ntp_measured,NC,False,True,False,False,False
EyeIrritation6pack_PID18,eye,high,NONE,,복구분 아님 · 출처 상충 없음 · CT 와 모순 없음,1,1.0,ntp_measured,,False,False,False,False,False
EyeIrritation6pack_PID180,eye,high,NONE,,복구분 아님 · 출처 상충 없음 · CT 와 모순 없음,2B,1.0,ntp_measured,,False,False,False,False,False
EyeIrritation6pack_PID182,eye,high,NONE,,복구분 아님 · 출처 상충 없음 · CT 와 모순 없음,2B,1.0,ntp_measured,,False,False,False,False,False
EyeIrritation6pack_PID186,eye,medium,SOURCE_CONFLICT,,출처 간 서열 상충(y_conflict=True),2B,1.0,ntp_measured,NC,False,True,False,False,False
EyeIrritation6pack_PID194,eye,medium,SOURCE_CONFLICT,,출처 간 서열 상충(y_conflict=True),2B,1.0,ntp_measured,,False,True,False,False,False
EyeIrritation6pack_PID195,eye,medium,SOURCE_CONFLICT,,출처 간 서열 상충(y_conflict=True),2A,1.0,ntp_measured,,False,True,False,False,False
EyeIrritation6pack_PID196,eye,high,NONE,,복구분 아님 · 출처 상충 없음 · CT 와 모순 없음,1,1.0,ntp_measured,,False,False,False,False,False
EyeIrritation6pack_PID197,eye,high,NONE,,복구분 아님 · 출처 상충 없음 · CT 와 모순 없음,2B,1.0,ntp_measured,NC,False,False,False,False,False
EyeIrritation6pack_PID205,eye,high,NONE,,복구분 아님 · 출처 상충 없음 · CT 와 모순 없음,2A,1.0,ntp_measured,2A,False,False,False,False,False
EyeIrritation6pack_PID213,eye,high,NONE,,복구분 아님 · 출처 상충 없음 · CT 와 모순 없음,2B,1.0,ntp_measured,,False,False,False,False,False
EyeIrritation6pack_PID214,eye,high,NONE,,복구분 아님 · 출처 상충 없음 · CT 와 모순 없음,2B,1.0,ntp_measured,NC,False,False,False,False,False
EyeIrritation6pack_PID217,eye,high,NONE,,복구분 아님 · 출처 상충 없음 · CT 와 모순 없음,2B,1.0,ntp_measured,NC,False,False,False,False,False
EyeIrritation6pack_PID218,eye,high,NONE,,복구분 아님 · 출처 상충 없음 · CT 와 모순 없음,2A,1.0,ntp_measured,NC,False,False,False,False,False
EyeIrritation6pack_PID219,eye,high,NONE,,복구분 아님 · 출처 상충 없음 · CT 와 모순 없음,2B,1.0,ntp_measured,,False,False,False,False,False
EyeIrritation6pack_PID220,eye,high,NONE,"Signs and symptoms of short-term (acute) exposure: Irritating to eyes, respiratory system and skin. / Eye irritation = Moderate",복구분 아님 · 출처 상충 없음 · CT 와 모순 없음,2B,1.0,ntp_measured,,False,False,False,True,False
EyeIrritation6pack_PID221,eye,medium,CT_CONTRADICTION,,CT baseline(GHS 가산법)은 양성인데 최종 라벨은 음성 — 상충 | 출처 간 서열 상충(y_conflict=True),NC,0.0,ntp_measured,2A,False,True,False,False,False
EyeIrritation6pack_PID222,eye,medium,SOURCE_CONFLICT,Eye Dam. 2A;H319 Causes serious eye irritation.,출처 간 서열 상충(y_conflict=True),2B,1.0,ntp_measured,NC,False,True,False,True,False
EyeIrritation6pack_PID223,eye,high,NONE,,복구분 아님 · 출처 상충 없음 · CT 와 모순 없음,2B,1.0,ntp_measured,1,False,False,False,False,False
EyeIrritation6pack_PID224,eye,high,NONE,,복구분 아님 · 출처 상충 없음 · CT 와 모순 없음,2B,1.0,ntp_measured,2A,False,False,False,False,False
EyeIrritation6pack_PID225,eye,high,NONE,,복구분 아님 · 출처 상충 없음 · CT 와 모순 없음,2B,1.0,ntp_measured,2A,False,False,False,False,False
EyeIrritation6pack_PID226,eye,high,NONE,,복구분 아님 · 출처 상충 없음 · CT 와 모순 없음,2B,1.0,ntp_measured,NC,False,False,False,False,False
EyeIrritation6pack_PID228,eye,high,NONE,,복구분 아님 · 출처 상충 없음 · CT 와 모순 없음,2B,1.0,ntp_measured,NC,False,False,False,False,False
EyeIrritation6pack_PID229,eye,high,NONE,,복구분 아님 · 출처 상충 없음 · CT 와 모순 없음,1,1.0,ntp_measured,2A,False,False,False,False,False
EyeIrritation6pack_PID23,eye,high,NONE,,복구분 아님 · 출처 상충 없음 · CT 와 모순 없음,2B,1.0,ntp_measured,,False,False,False,False,False
EyeIrritation6pack_PID231,eye,high,NONE,,복구분 아님 · 출처 상충 없음 · CT 와 모순 없음,1,1.0,ntp_measured,,False,False,False,False,False
EyeIrritation6pack_PID233,eye,high,NONE,Causes moderate eye irritation. ... EYE – Irritating and may injure eye tissue if not removed promptly. ... EYE IRRITANT Rabbit – Slight Irritant,복구분 아님 · 출처 상충 없음 · CT 와 모순 없음,2B,1.0,ntp_measured,,False,False,False,False,False
EyeIrritation6pack_PID24,eye,high,NONE,,복구분 아님 · 출처 상충 없음 · CT 와 모순 없음,NC,0.0,ntp_measured,,False,False,False,False,False
EyeIrritation6pack_PID240,eye,high,NONE,,복구분 아님 · 출처 상충 없음 · CT 와 모순 없음,2B,1.0,ntp_measured,,False,False,False,False,False
EyeIrritation6pack_PID241,eye,high,NONE,Serious eye damage/eye irritation  / Eyes - rabbit  / Remarks: slight irritation,복구분 아님 · 출처 상충 없음 · CT 와 모순 없음,2A,1.0,ntp_measured,,False,False,False,False,False
EyeIrritation6pack_PID242,eye,high,NONE,,복구분 아님 · 출처 상충 없음 · CT 와 모순 없음,2B,1.0,ntp_measured,NC,False,False,False,False,False
EyeIrritation6pack_PID243,eye,high,NONE,,복구분 아님 · 출처 상충 없음 · CT 와 모순 없음,2B,1.0,ntp_measured,NC,False,False,False,False,False
EyeIrritation6pack_PID246,eye,high,NONE,Serious eye damage/eye irritation  / Eyes - Rabbit  / Result: No eye irritation,복구분 아님 · 출처 상충 없음 · CT 와 모순 없음,NC,0.0,ntp_measured,NC,False,False,True,False,False
EyeIrritation6pack_PID247,eye,high,NONE,Serious eye damage/eye irritation  / Eyes - Rabbit  / Result: No eye irritation,복구분 아님 · 출처 상충 없음 · CT 와 모순 없음,NC,0.0,ntp_measured,NC,False,False,True,False,False
EyeIrritation6pack_PID251,eye,high,NONE,,복구분 아님 · 출처 상충 없음 · CT 와 모순 없음,2B,1.0,ntp_measured,NC,False,False,False,False,False
EyeIrritation6pack_PID252,eye,high,NONE,,복구분 아님 · 출처 상충 없음 · CT 와 모순 없음,2B,1.0,ntp_measured,NC,False,False,False,False,False
EyeIrritation6pack_PID253,eye,high,NONE,,복구분 아님 · 출처 상충 없음 · CT 와 모순 없음,2B,1.0,ntp_measured,,False,False,False,False,False
EyeIrritation6pack_PID254,eye,medium,SOURCE_CONFLICT,,출처 간 서열 상충(y_conflict=True),1,1.0,ntp_measured,,False,True,False,False,False
EyeIrritation6pack_PID255,eye,high,NONE,,복구분 아님 · 출처 상충 없음 · CT 와 모순 없음,2B,1.0,ntp_measured,,False,False,False,False,False
EyeIrritation6pack_PID256,eye,high,NONE,,복구분 아님 · 출처 상충 없음 · CT 와 모순 없음,2B,1.0,ntp_measured,,False,False,False,False,False
EyeIrritation6pack_PID258,eye,high,NONE,,복구분 아님 · 출처 상충 없음 · CT 와 모순 없음,1,1.0,ntp_measured,1,False,False,False,False,False
EyeIrritation6pack_PID263,eye,high,NONE,,복구분 아님 · 출처 상충 없음 · CT 와 모순 없음,NC,0.0,ntp_measured,NC,False,False,False,False,False
EyeIrritation6pack_PID267,eye,high,NONE,Serious eye damage/eye irritation / No data available,복구분 아님 · 출처 상충 없음 · CT 와 모순 없음,2A,1.0,ntp_measured,,False,False,False,True,True
EyeIrritation6pack_PID269,eye,high,NONE,,복구분 아님 · 출처 상충 없음 · CT 와 모순 없음,2B,1.0,ntp_measured,,False,False,False,False,False
EyeIrritation6pack_PID270,eye,high,NONE,,복구분 아님 · 출처 상충 없음 · CT 와 모순 없음,NC,0.0,ntp_measured,NC,False,False,False,False,False
EyeIrritation6pack_PID271,eye,high,NONE,,복구분 아님 · 출처 상충 없음 · CT 와 모순 없음,NC,0.0,ntp_measured,NC,False,False,False,False,False
EyeIrritation6pack_PID272,eye,high,NONE,,복구분 아님 · 출처 상충 없음 · CT 와 모순 없음,NC,0.0,ntp_measured,NC,False,False,False,False,False
EyeIrritation6pack_PID273,eye,high,NONE,,복구분 아님 · 출처 상충 없음 · CT 와 모순 없음,2B,1.0,ntp_measured,NC,False,False,False,False,False
EyeIrritation6pack_PID274,eye,high,NONE,,복구분 아님 · 출처 상충 없음 · CT 와 모순 없음,2A,1.0,ntp_measured,,False,False,False,False,False
EyeIrritation6pack_PID275,eye,high,NONE,,복구분 아님 · 출처 상충 없음 · CT 와 모순 없음,NC,0.0,ntp_measured,NC,False,False,False,False,False
