cas,n_distinct_smiles,skeleton_conflict,all_smiles,recommended_smiles,recommendation_reason,affected_row_count
122931-48-0,2,False,CCS(=O)(=O)C1=CC=CN=C1S(=O)(=O)NC(=O)NC1=NC(OC)=CC(OC)=N1|CCS(=O)(=O)c1cccnc1S(=O)(=O)NC(=O)Nc1nc(OC)cc(OC)n1,CCS(=O)(=O)C1=CC=CN=C1S(=O)(=O)NC(=O)NC1=NC(OC)=CC(OC)=N1,same_inchikey_notation_only: InChIKey 완전 동일(입체정보 없음) — SMILES 표기 차이일 뿐이므로 임의 대표(문자열 최장) 채택,12
124495-18-7,2,False,FC1=CC=C(OC2=CC=NC3=CC(Cl)=CC(Cl)=C23)C=C1|Fc1ccc(Oc2ccnc3cc(Cl)cc(Cl)c23)cc1,FC1=CC=C(OC2=CC=NC3=CC(Cl)=CC(Cl)=C23)C=C1,same_inchikey_notation_only: InChIKey 완전 동일(입체정보 없음) — SMILES 표기 차이일 뿐이므로 임의 대표(문자열 최장) 채택,4
125116-23-6,2,False,CC1(C)CCC(CC2=CC=C(Cl)C=C2)C1(O)CN1C=NC=N1|CC1(C)CCC(Cc2ccc(Cl)cc2)C1(O)Cn1cncn1,CC1(C)CCC(CC2=CC=C(Cl)C=C2)C1(O)CN1C=NC=N1,same_inchikey_notation_only: InChIKey 완전 동일(입체정보 없음) — SMILES 표기 차이일 뿐이므로 임의 대표(문자열 최장) 채택,8
125225-28-7,2,False,CC(C)C1CCC(CC2=CC=C(Cl)C=C2)C1(O)CN1C=NC=N1|CC(C)C1CCC(Cc2ccc(Cl)cc2)C1(O)Cn1cncn1,CC(C)C1CCC(CC2=CC=C(Cl)C=C2)C1(O)CN1C=NC=N1,same_inchikey_notation_only: InChIKey 완전 동일(입체정보 없음) — SMILES 표기 차이일 뿐이므로 임의 대표(문자열 최장) 채택,8
125401-92-5,2,False,COc1cc(OC)nc(Oc2cccc(Oc3nc(OC)cc(OC)n3)c2C(=O)[O-])n1.[Na+]|[Na+].COC1=CC(OC)=NC(OC2=CC=CC(OC3=NC(OC)=CC(OC)=N3)=C2C([O-])=O)=N1,[Na+].COC1=CC(OC)=NC(OC2=CC=CC(OC3=NC(OC)=CC(OC)=N3)=C2C([O-])=O)=N1,same_inchikey_notation_only: InChIKey 완전 동일(입체정보 없음) — SMILES 표기 차이일 뿐이므로 임의 대표(문자열 최장) 채택,7
128639-02-1,2,False,CCOC(=O)C(Cl)CC1=C(Cl)C=C(F)C(=C1)N1N=C(C)N(C(F)F)C1=O|CCOC(=O)C(Cl)Cc1cc(-n2nc(C)n(C(F)F)c2=O)c(F)cc1Cl,CCOC(=O)C(Cl)CC1=C(Cl)C=C(F)C(=C1)N1N=C(C)N(C(F)F)C1=O,same_inchikey_notation_only: InChIKey 완전 동일(입체정보 없음) — SMILES 표기 차이일 뿐이므로 임의 대표(문자열 최장) 채택,7
129630-19-9,2,False,CCOC(=O)COC1=C(Cl)C=C(F)C(=C1)C1=NN(C)C(OC(F)F)=C1Cl|CCOC(=O)COc1cc(-c2nn(C)c(OC(F)F)c2Cl)c(F)cc1Cl,CCOC(=O)COC1=C(Cl)C=C(F)C(=C1)C1=NN(C)C(OC(F)F)=C1Cl,same_inchikey_notation_only: InChIKey 완전 동일(입체정보 없음) — SMILES 표기 차이일 뿐이므로 임의 대표(문자열 최장) 채택,7
129909-90-6,2,False,CC(C)C1=NN(C(=O)NC(C)(C)C)C(=O)N1N|CC(C)c1nn(C(=O)NC(C)(C)C)c(=O)n1N,CC(C)C1=NN(C(=O)NC(C)(C)C)C(=O)N1N,same_inchikey_notation_only: InChIKey 완전 동일(입체정보 없음) — SMILES 표기 차이일 뿐이므로 임의 대표(문자열 최장) 채택,5
1310-73-2,2,False,[Na+].[OH-]|[OH-].[Na+],[Na+].[OH-],same_inchikey_notation_only: InChIKey 완전 동일(입체정보 없음) — SMILES 표기 차이일 뿐이므로 임의 대표(문자열 최장) 채택,11
131341-86-1,2,False,FC1(F)OC2=CC=CC(=C2O1)C1=CNC=C1C#N|N#Cc1c[nH]cc1-c1cccc2c1OC(F)(F)O2,FC1(F)OC2=CC=CC(=C2O1)C1=CNC=C1C#N,same_inchikey_notation_only: InChIKey 완전 동일(입체정보 없음) — SMILES 표기 차이일 뿐이므로 임의 대표(문자열 최장) 채택,32
1317-39-1,2,True,[Cu].[O]=[Cu]|[O--].[Cu+].[Cu+],,"skeleton_conflict: InChIKey 골격 2종 상이 (BERDEBHAJNAUOM|KRFJLUBVMFXRPN) — 진짜 다른 물질, 수동검토 필요",4
131860-33-8,2,False,CO/C=C(/C(=O)OC)c1ccccc1Oc1cc(Oc2ccccc2C#N)ncn1|COC=C(C(=O)OC)C1=CC=CC=C1OC1=CC(OC2=CC=CC=C2C#N)=NC=N1,CO/C=C(/C(=O)OC)c1ccccc1Oc1cc(Oc2ccccc2C#N)ncn1,"same_skeleton_single_stereo: 골격 동일, 입체정보(InChIKey 2블록=GHRIWEEISA) 보유 SMILES가 유일하여 채택",22
131983-72-7,2,False,CC1(C)CC/C(=C\c2ccc(Cl)cc2)C1(O)Cn1cncn1|CC1(C)CCC(=CC2=CC=C(Cl)C=C2)C1(O)CN1C=NC=N1,CC1(C)CC/C(=C\c2ccc(Cl)cc2)C1(O)Cn1cncn1,"same_skeleton_single_stereo: 골격 동일, 입체정보(InChIKey 2블록=NTEUORMPSA) 보유 SMILES가 유일하여 채택",10
133-06-2,2,False,ClC(Cl)(Cl)SN1C(=O)C2CC=CCC2C1=O|O=C1C2CC=CCC2C(=O)N1SC(Cl)(Cl)Cl,ClC(Cl)(Cl)SN1C(=O)C2CC=CCC2C1=O,same_inchikey_notation_only: InChIKey 완전 동일(입체정보 없음) — SMILES 표기 차이일 뿐이므로 임의 대표(문자열 최장) 채택,5
133-07-3,2,False,ClC(Cl)(Cl)SN1C(=O)C2=C(C=CC=C2)C1=O|O=C1c2ccccc2C(=O)N1SC(Cl)(Cl)Cl,ClC(Cl)(Cl)SN1C(=O)C2=C(C=CC=C2)C1=O,same_inchikey_notation_only: InChIKey 완전 동일(입체정보 없음) — SMILES 표기 차이일 뿐이므로 임의 대표(문자열 최장) 채택,3
134-62-3,2,False,CCN(CC)C(=O)C1=CC=CC(C)=C1|CCN(CC)C(=O)c1cccc(C)c1,CCN(CC)C(=O)C1=CC=CC(C)=C1,same_inchikey_notation_only: InChIKey 완전 동일(입체정보 없음) — SMILES 표기 차이일 뿐이므로 임의 대표(문자열 최장) 채택,6
13463-41-7,2,False,[O-]1N2C=CC=CC2=[S][Zn++]11[O-]N2C=CC=CC2=[S]1|[O-][n+]1ccccc1[S-].[O-][n+]1ccccc1[S-].[Zn+2],,"insufficient_parseable_smiles: RDKit 파싱 성공 1건 (전체 2건) — 판정 불가, 수동검토",5
138261-41-3,2,False,O=[N+]([O-])/N=C1\NCCN1Cc1ccc(Cl)nc1|[O-][N+](=O)N=C1/NCCN1CC1=CN=C(Cl)C=C1,[O-][N+](=O)N=C1/NCCN1CC1=CN=C(Cl)C=C1,same_inchikey_notation_only: InChIKey 완전 동일(입체정보 없음) — SMILES 표기 차이일 뿐이므로 임의 대표(문자열 최장) 채택,71
139968-49-3,2,False,FC(F)(F)OC1=CC=C(NC(=O)NN=C(CC2=CC=C(C=C2)C#N)C2=CC=CC(=C2)C(F)(F)F)C=C1|N#Cc1ccc(C/C(=N\NC(=O)Nc2ccc(OC(F)(F)F)cc2)c2cccc(C(F)(F)F)c2)cc1,N#Cc1ccc(C/C(=N\NC(=O)Nc2ccc(OC(F)(F)F)cc2)c2cccc(C(F)(F)F)c2)cc1,"same_skeleton_single_stereo: 골격 동일, 입체정보(InChIKey 2블록=QNKGDIEWSA) 보유 SMILES가 유일하여 채택",6
141517-21-7,2,False,CO/N=C(/C(=O)OC)c1ccccc1CO/N=C(\C)c1cccc(C(F)(F)F)c1|CON=C(C(=O)OC)C1=CC=CC=C1CON=C(/C)C1=CC(=CC=C1)C(F)(F)F,CO/N=C(/C(=O)OC)c1ccccc1CO/N=C(\C)c1cccc(C(F)(F)F)c1,"same_skeleton_single_stereo: 골격 동일, 입체정보(InChIKey 2블록=TVJDWZFNSA) 보유 SMILES가 유일하여 채택",12
142459-58-3,2,False,CC(C)N(C(=O)COC1=NN=C(S1)C(F)(F)F)C1=CC=C(F)C=C1|CC(C)N(C(=O)COc1nnc(C(F)(F)F)s1)c1ccc(F)cc1,CC(C)N(C(=O)COC1=NN=C(S1)C(F)(F)F)C1=CC=C(F)C=C1,same_inchikey_notation_only: InChIKey 완전 동일(입체정보 없음) — SMILES 표기 차이일 뿐이므로 임의 대표(문자열 최장) 채택,7
144550-36-7,2,False,COC(=O)c1ccc(I)cc1S(=O)(=O)[N-]C(=O)Nc1nc(C)nc(OC)n1.[Na+]|[Na+].COC(=O)C1=C(C=C(I)C=C1)S(=O)(=O)[N-]C(=O)NC1=NC(OC)=NC(C)=N1,[Na+].COC(=O)C1=C(C=C(I)C=C1)S(=O)(=O)[N-]C(=O)NC1=NC(OC)=NC(C)=N1,same_inchikey_notation_only: InChIKey 완전 동일(입체정보 없음) — SMILES 표기 차이일 뿐이므로 임의 대표(문자열 최장) 채택,4
15299-99-7,2,False,CCN(CC)C(=O)C(C)OC1=C2C=CC=CC2=CC=C1|CCN(CC)C(=O)C(C)Oc1cccc2ccccc12,CCN(CC)C(=O)C(C)OC1=C2C=CC=CC2=CC=C1,same_inchikey_notation_only: InChIKey 완전 동일(입체정보 없음) — SMILES 표기 차이일 뿐이므로 임의 대표(문자열 최장) 채택,3
153233-91-1,2,False,CCOC1=C(C=CC(=C1)C(C)(C)C)C1COC(=N1)C1=C(F)C=CC=C1F|CCOc1cc(C(C)(C)C)ccc1C1COC(c2c(F)cccc2F)=N1,CCOC1=C(C=CC(=C1)C(C)(C)C)C1COC(=N1)C1=C(F)C=CC=C1F,same_inchikey_notation_only: InChIKey 완전 동일(입체정보 없음) — SMILES 표기 차이일 뿐이므로 임의 대표(문자열 최장) 채택,6
153719-23-4,2,False,CN1COCN(CC2=CN=C(Cl)S2)C1=N[N+]([O-])=O|CN1COCN(Cc2cnc(Cl)s2)/C1=N/[N+](=O)[O-],CN1COCN(Cc2cnc(Cl)s2)/C1=N/[N+](=O)[O-],"same_skeleton_single_stereo: 골격 동일, 입체정보(InChIKey 2블록=DHZHZOJOSA) 보유 SMILES가 유일하여 채택",28
1582-09-8,2,False,CCCN(CCC)C1=C(C=C(C=C1[N+]([O-])=O)C(F)(F)F)[N+]([O-])=O|CCCN(CCC)c1c([N+](=O)[O-])cc(C(F)(F)F)cc1[N+](=O)[O-],CCCN(CCC)C1=C(C=C(C=C1[N+]([O-])=O)C(F)(F)F)[N+]([O-])=O,same_inchikey_notation_only: InChIKey 완전 동일(입체정보 없음) — SMILES 표기 차이일 뿐이므로 임의 대표(문자열 최장) 채택,6
161050-58-4,2,False,COC1=CC=CC(C(=O)NN(C(=O)C2=CC(C)=CC(C)=C2)C(C)(C)C)=C1C|COc1cccc(C(=O)NN(C(=O)c2cc(C)cc(C)c2)C(C)(C)C)c1C,COC1=CC=CC(C(=O)NN(C(=O)C2=CC(C)=CC(C)=C2)C(C)(C)C)=C1C,same_inchikey_notation_only: InChIKey 완전 동일(입체정보 없음) — SMILES 표기 차이일 뿐이므로 임의 대표(문자열 최장) 채택,4
16484-77-8,2,False,C[C@@H](OC1=C(C)C=C(Cl)C=C1)C(O)=O|Cc1cc(Cl)ccc1O[C@H](C)C(=O)O,C[C@@H](OC1=C(C)C=C(Cl)C=C1)C(O)=O,same_skeleton_multi_stereo: 골격·중원자수(14) 동일한 입체표기 SMILES 2건 중 문자열이 가장 긴(입체표기가 가장 완전한) 것 채택,5
165252-70-0,2,False,CN=C(NCC1CCOC1)N[N+](=O)[O-]|CNC(NCC1CCOC1)=N[N+]([O-])=O,CN=C(NCC1CCOC1)N[N+](=O)[O-],same_inchikey_notation_only: InChIKey 완전 동일(입체정보 없음) — SMILES 표기 차이일 뿐이므로 임의 대표(문자열 최장) 채택,21
175013-18-0,2,False,COC(=O)N(OC)c1ccccc1COc1ccn(-c2ccc(Cl)cc2)n1|CON(C(=O)OC)C1=C(COC2=NN(C=C2)C2=CC=C(Cl)C=C2)C=CC=C1,CON(C(=O)OC)C1=C(COC2=NN(C=C2)C2=CC=C(Cl)C=C2)C=CC=C1,same_inchikey_notation_only: InChIKey 완전 동일(입체정보 없음) — SMILES 표기 차이일 뿐이므로 임의 대표(문자열 최장) 채택,16
178928-70-6,2,False,OC(CN1N=CNC1=S)(CC1=C(Cl)C=CC=C1)C1(Cl)CC1|OC(Cc1ccccc1Cl)(Cn1[nH]cnc1=S)C1(Cl)CC1,OC(CN1N=CNC1=S)(CC1=C(Cl)C=CC=C1)C1(Cl)CC1,same_inchikey_notation_only: InChIKey 완전 동일(입체정보 없음) — SMILES 표기 차이일 뿐이므로 임의 대표(문자열 최장) 채택,9
181274-15-7,2,False,CCCOc1nn(C(=O)[N-]S(=O)(=O)c2ccccc2C(=O)OC)c(=O)n1C.[Na+]|[Na+].CCCOC1=NN(C(=O)[N-]S(=O)(=O)C2=C(C=CC=C2)C(=O)OC)C(=O)N1C,[Na+].CCCOC1=NN(C(=O)[N-]S(=O)(=O)C2=C(C=CC=C2)C(=O)OC)C(=O)N1C,same_inchikey_notation_only: InChIKey 완전 동일(입체정보 없음) — SMILES 표기 차이일 뿐이므로 임의 대표(문자열 최장) 채택,5
183675-82-3,2,False,CC(C)CC(C)C1=C(NC(=O)C2=CN(C)N=C2C(F)(F)F)C=CS1|CC(C)CC(C)c1sccc1NC(=O)c1cn(C)nc1C(F)(F)F,CC(C)CC(C)C1=C(NC(=O)C2=CN(C)N=C2C(F)(F)F)C=CS1,same_inchikey_notation_only: InChIKey 완전 동일(입체정보 없음) — SMILES 표기 차이일 뿐이므로 임의 대표(문자열 최장) 채택,7
188425-85-6,2,False,ClC1=CC=C(C=C1)C1=C(NC(=O)C2=C(Cl)N=CC=C2)C=CC=C1|O=C(Nc1ccccc1-c1ccc(Cl)cc1)c1cccnc1Cl,ClC1=CC=C(C=C1)C1=C(NC(=O)C2=C(Cl)N=CC=C2)C=CC=C1,same_inchikey_notation_only: InChIKey 완전 동일(입체정보 없음) — SMILES 표기 차이일 뿐이므로 임의 대표(문자열 최장) 채택,8
188489-07-8,2,False,CCOC(=O)COC1=CC(N2N=CC(=C(C)C2=O)C(F)(F)F)=C(F)C=C1Cl|CCOC(=O)COc1cc(-n2ncc(C(F)(F)F)c(C)c2=O)c(F)cc1Cl,CCOC(=O)COC1=CC(N2N=CC(=C(C)C2=O)C(F)(F)F)=C(F)C=C1Cl,same_inchikey_notation_only: InChIKey 완전 동일(입체정보 없음) — SMILES 표기 차이일 뿐이므로 임의 대표(문자열 최장) 채택,7
1897-45-6,2,False,ClC1=C(Cl)C(C#N)=C(Cl)C(C#N)=C1Cl|N#Cc1c(Cl)c(Cl)c(Cl)c(C#N)c1Cl,ClC1=C(Cl)C(C#N)=C(Cl)C(C#N)=C1Cl,same_inchikey_notation_only: InChIKey 완전 동일(입체정보 없음) — SMILES 표기 차이일 뿐이므로 임의 대표(문자열 최장) 채택,32
1912-24-9,2,False,CCNC1=NC(NC(C)C)=NC(Cl)=N1|CCNc1nc(Cl)nc(NC(C)C)n1,CCNC1=NC(NC(C)C)=NC(Cl)=N1,same_inchikey_notation_only: InChIKey 완전 동일(입체정보 없음) — SMILES 표기 차이일 뿐이므로 임의 대표(문자열 최장) 채택,16
199119-58-9,2,False,COc1cc(OC)nc(NC(=O)[N-]S(=O)(=O)c2ncccc2OCC(F)(F)F)n1.[Na+]|[Na+].COC1=CC(OC)=NC(NC(=O)[N-]S(=O)(=O)C2=NC=CC=C2OCC(F)(F)F)=N1,[Na+].COC1=CC(OC)=NC(NC(=O)[N-]S(=O)(=O)C2=NC=CC=C2OCC(F)(F)F)=N1,same_inchikey_notation_only: InChIKey 완전 동일(입체정보 없음) — SMILES 표기 차이일 뿐이므로 임의 대표(문자열 최장) 채택,6
2008-39-1,2,False,CNC.O=C(O)COc1ccc(Cl)cc1Cl|C[NH2+]C.[O-]C(=O)COC1=C(Cl)C=C(Cl)C=C1,C[NH2+]C.[O-]C(=O)COC1=C(Cl)C=C(Cl)C=C1,same_inchikey_notation_only: InChIKey 완전 동일(입체정보 없음) — SMILES 표기 차이일 뿐이므로 임의 대표(문자열 최장) 채택,21
203313-25-1,2,False,CCOC(=O)OC1=C(C(=O)N[C@@]11CC[C@@H](CC1)OC)C1=C(C)C=CC(C)=C1|CCOC(=O)OC1=C(c2cc(C)ccc2C)C(=O)NC12CCC(OC)CC2,CCOC(=O)OC1=C(C(=O)N[C@@]11CC[C@@H](CC1)OC)C1=C(C)C=CC(C)=C1,"same_skeleton_single_stereo: 골격 동일, 입체정보(InChIKey 2블록=GGYDESQDSA) 보유 SMILES가 유일하여 채택",4
210880-92-5,2,False,CN/C(=N\[N+](=O)[O-])NCc1cnc(Cl)s1|CNC(NCC1=CN=C(Cl)S1)=N/[N+]([O-])=O,CNC(NCC1=CN=C(Cl)S1)=N/[N+]([O-])=O,same_inchikey_notation_only: InChIKey 완전 동일(입체정보 없음) — SMILES 표기 차이일 뿐이므로 임의 대표(문자열 최장) 채택,25
219714-96-2,2,False,COC1=CN=C(OC)N2N=C(NS(=O)(=O)C3=C(C=CC=C3OCC(F)F)C(F)(F)F)N=C12|COc1cnc(OC)n2nc(NS(=O)(=O)c3c(OCC(F)F)cccc3C(F)(F)F)nc12,COC1=CN=C(OC)N2N=C(NS(=O)(=O)C3=C(C=CC=C3OCC(F)F)C(F)(F)F)N=C12,same_inchikey_notation_only: InChIKey 완전 동일(입체정보 없음) — SMILES 표기 차이일 뿐이므로 임의 대표(문자열 최장) 채택,16
22248-79-9,2,False,COP(=O)(OC)O/C(=C\Cl)c1cc(Cl)c(Cl)cc1Cl|COP(=O)(OC)OC(=C/Cl)C1=C(Cl)C=C(Cl)C(Cl)=C1,COP(=O)(OC)O/C(=C\Cl)c1cc(Cl)c(Cl)cc1Cl,"same_skeleton_single_stereo: 골격 동일, 입체정보(InChIKey 2블록=YHYXMXQVSA) 보유 SMILES가 유일하여 채택",3
2300-66-5,2,False,CNC.COC1=C(C(O)=O)C(Cl)=CC=C1Cl|CNC.COc1c(Cl)ccc(Cl)c1C(=O)O,CNC.COC1=C(C(O)=O)C(Cl)=CC=C1Cl,same_inchikey_notation_only: InChIKey 완전 동일(입체정보 없음) — SMILES 표기 차이일 뿐이므로 임의 대표(문자열 최장) 채택,18
23031-36-9,2,False,C#CCC1=C(C)C(OC(=O)C2C(C=C(C)C)C2(C)C)CC1=O|CC(C)=CC1C(C(=O)OC2CC(=O)C(CC#C)=C2C)C1(C)C,C#CCC1=C(C)C(OC(=O)C2C(C=C(C)C)C2(C)C)CC1=O,same_inchikey_notation_only: InChIKey 완전 동일(입체정보 없음) — SMILES 표기 차이일 뿐이므로 임의 대표(문자열 최장) 채택,21
23564-05-8,2,False,COC(=O)NC(=S)NC1=C(NC(=S)NC(=O)OC)C=CC=C1|COC(=O)NC(=S)Nc1ccccc1NC(=S)NC(=O)OC,COC(=O)NC(=S)NC1=C(NC(=S)NC(=O)OC)C=CC=C1,same_inchikey_notation_only: InChIKey 완전 동일(입체정보 없음) — SMILES 표기 차이일 뿐이므로 임의 대표(문자열 최장) 채택,11
240494-70-6,2,False,C/C=C/C1C(C(=O)OCc2c(F)c(F)c(COC)c(F)c2F)C1(C)C|COCC1=C(F)C(F)=C(COC(=O)C2C(C=CC)C2(C)C)C(F)=C1F,C/C=C/C1C(C(=O)OCc2c(F)c(F)c(COC)c(F)c2F)C1(C)C,"same_skeleton_single_stereo: 골격 동일, 입체정보(InChIKey 2블록=AATRIKPKSA) 보유 SMILES가 유일하여 채택",10
26172-55-4,2,False,CN1SC(Cl)=CC1=O|Cn1sc(Cl)cc1=O,CN1SC(Cl)=CC1=O,same_inchikey_notation_only: InChIKey 완전 동일(입체정보 없음) — SMILES 표기 차이일 뿐이므로 임의 대표(문자열 최장) 채택,11
26225-79-6,2,False,CCOC1OC2=C(C=C(OS(C)(=O)=O)C=C2)C1(C)C|CCOC1Oc2ccc(OS(C)(=O)=O)cc2C1(C)C,CCOC1OC2=C(C=C(OS(C)(=O)=O)C=C2)C1(C)C,same_inchikey_notation_only: InChIKey 완전 동일(입체정보 없음) — SMILES 표기 차이일 뿐이므로 임의 대표(문자열 최장) 채택,8
2634-33-5,2,False,O=C1NSC2=C1C=CC=C2|O=c1[nH]sc2ccccc12,O=C1NSC2=C1C=CC=C2,same_inchikey_notation_only: InChIKey 완전 동일(입체정보 없음) — SMILES 표기 차이일 뿐이므로 임의 대표(문자열 최장) 채택,22
2682-20-4,2,False,CN1SC=CC1=O|Cn1sccc1=O,CN1SC=CC1=O,same_inchikey_notation_only: InChIKey 완전 동일(입체정보 없음) — SMILES 표기 차이일 뿐이므로 임의 대표(문자열 최장) 채택,12
2893-78-9,2,False,O=c1nc([O-])n(Cl)c(=O)n1Cl.[Na+]|[Na+].ClN1C(=O)[N-]C(=O)N(Cl)C1=O,[Na+].ClN1C(=O)[N-]C(=O)N(Cl)C1=O,same_inchikey_notation_only: InChIKey 완전 동일(입체정보 없음) — SMILES 표기 차이일 뿐이므로 임의 대표(문자열 최장) 채택,8
