Formulation_ID,ingredient_name,cas,strategy,value,src,confidence,detail,idx,보류사유
EyeIrritation6pack_PID897,· Index number:607,711-00-0,전략2_CASmedian_n<3,,동일CAS_median,낮음,"동일CAS n=0, pct_status=ok",2060,동일CAS 대표값 n<3 — 중앙값의 신뢰도 부족
EyeIrritation6pack_PID899,spiroxamine >98,118134-30-8,전략2_CASmedian_n<3,31.0,동일CAS_median,낮음,"동일CAS n=1, pct_status=ok",2061,동일CAS 대표값 n<3 — 중앙값의 신뢰도 부족
EyeIrritation6pack_PID707,CYANURIC ACID,108-80-5,전략2_CASmedian_n<3,,동일CAS_median,낮음,"동일CAS n=0, pct_status=ok",1551,동일CAS 대표값 n<3 — 중앙값의 신뢰도 부족
MIX47,hydramethylnon,67485-29-4,전략2_CASmedian_n<3,0.37,동일CAS_median,낮음,"동일CAS n=2, pct_status=ok",3972,동일CAS 대표값 n<3 — 중앙값의 신뢰도 부족
EyeIrritation6pack_PID708,Cellulose >= 30 - <,9004-34-6,전략2_CASmedian_n<3,,동일CAS_median,낮음,"동일CAS n=0, pct_status=ok",1554,동일CAS 대표값 n<3 — 중앙값의 신뢰도 부족
EyeIrritation6pack_PID708,Losartan >= 30 - <,124750-99-8,전략2_CASmedian_n<3,,동일CAS_median,낮음,"동일CAS n=0, pct_status=ok",1555,동일CAS 대표값 n<3 — 중앙값의 신뢰도 부족
Cancer_PID_6,"1,2,3,6,7,8-Hexachlorodibenzo-p-dioxin",57653-85-7,전략2_CASmedian_n<3,,동일CAS_median,낮음,"동일CAS n=0, pct_status=ok",20,동일CAS 대표값 n<3 — 중앙값의 신뢰도 부족
Cancer_PID_6,"1,2,3,7,8,9-Hexachlorodibenzo-p-dioxin",19408-74-3,전략2_CASmedian_n<3,,동일CAS_median,낮음,"동일CAS n=0, pct_status=ok",21,동일CAS 대표값 n<3 — 중앙값의 신뢰도 부족
EyeIrritation6pack_PID708,Starch >= 10 - <,9005-25-8,전략2_CASmedian_n<3,,동일CAS_median,낮음,"동일CAS n=0, pct_status=ok",1556,동일CAS 대표값 n<3 — 중앙값의 신뢰도 부족
MIX510,Emamectin benzoate ≤10,155569-91-8,전략2_CASmedian_n<3,55.0,동일CAS_median,낮음,"동일CAS n=2, pct_status=ok",4119,동일CAS 대표값 n<3 — 중앙값의 신뢰도 부족
Cancer_PID_959,Polychlorinated Biphenyls (PCBs),1336-36-3,전략2_CASmedian_n<3,,동일CAS_median,낮음,"동일CAS n=0, pct_status=ok",27,동일CAS 대표값 n<3 — 중앙값의 신뢰도 부족
Cancer_PID_959,PCB 118,31508-00-6,전략2_CASmedian_n<3,,동일CAS_median,낮음,"동일CAS n=0, pct_status=ok",28,동일CAS 대표값 n<3 — 중앙값의 신뢰도 부족
Cancer_PID_97,"Asbestos, Amosite",12172-73-5,전략2_CASmedian_n<3,,동일CAS_median,낮음,"동일CAS n=0, pct_status=ok",29,동일CAS 대표값 n<3 — 중앙값의 신뢰도 부족
MIX642,Butyrohydrazide,3538-65-6,전략2_CASmedian_n<3,,동일CAS_median,낮음,"동일CAS n=0, pct_status=ok",4635,동일CAS 대표값 n<3 — 중앙값의 신뢰도 부족
MIX512,"Alcohols, C12-16-alkyl ethers, propoxylated, aminated",176022-82-5,전략2_CASmedian_n<3,,동일CAS_median,낮음,"동일CAS n=0, pct_status=ok",4127,동일CAS 대표값 n<3 — 중앙값의 신뢰도 부족
Cancer_PID_98,Chrysotile,12001-29-5,전략2_CASmedian_n<3,,동일CAS_median,낮음,"동일CAS n=0, pct_status=ok",32,동일CAS 대표값 n<3 — 중앙값의 신뢰도 부족
Cancer_PID_97,"1,1-Dimethylhydrazine",57-14-7,전략2_CASmedian_n<3,98.0,동일CAS_median,낮음,"동일CAS n=1, pct_status=ok",31,동일CAS 대표값 n<3 — 중앙값의 신뢰도 부족
EyeIrritation6pack_PID493,Antimony Trioxide Grp. 2B: Possible human carc. International Agency for Research on Cancer,1309-64-4,전략2_CASmedian_n<3,,동일CAS_median,낮음,"동일CAS n=0, pct_status=ok",1052,동일CAS 대표값 n<3 — 중앙값의 신뢰도 부족
EyeIrritation6pack_PID716,Propoxycarbazone-sodium,181274-15-7,전략2_CASmedian_n<3,5.755,동일CAS_median,낮음,"동일CAS n=2, pct_status=ok",1565,동일CAS 대표값 n<3 — 중앙값의 신뢰도 부족
EyeIrritation6pack_PID495,Spinosad A,131929-60-7,전략2_CASmedian_n<3,0.001,동일CAS_median,낮음,"동일CAS n=1, pct_status=ok",1060,동일CAS 대표값 n<3 — 중앙값의 신뢰도 부족
EyeIrritation6pack_PID495,Spinosad D,131929-63-0,전략2_CASmedian_n<3,,동일CAS_median,낮음,"동일CAS n=0, pct_status=ok",1061,동일CAS 대표값 n<3 — 중앙값의 신뢰도 부족
EyeIrritation6pack_PID717,Propoxycarbazone-sodium,181274-15-7,전략2_CASmedian_n<3,5.755,동일CAS_median,낮음,"동일CAS n=2, pct_status=ok",1567,동일CAS 대표값 n<3 — 중앙값의 신뢰도 부족
MIX391,Cellulose >= 30 - <,9004-34-6,전략2_CASmedian_n<3,,동일CAS_median,낮음,"동일CAS n=0, pct_status=ok",3621,동일CAS 대표값 n<3 — 중앙값의 신뢰도 부족
MIX391,Losartan >= 30 - <,124750-99-8,전략2_CASmedian_n<3,,동일CAS_median,낮음,"동일CAS n=0, pct_status=ok",3622,동일CAS 대표값 n<3 — 중앙값의 신뢰도 부족
MIX391,Starch >= 10 - <,9005-25-8,전략2_CASmedian_n<3,,동일CAS_median,낮음,"동일CAS n=0, pct_status=ok",3623,동일CAS 대표값 n<3 — 중앙값의 신뢰도 부족
MIX651,Myclobutanil 21.7,88671-89-0,전략2_CASmedian_n<3,9.7,동일CAS_median,낮음,"동일CAS n=2, pct_status=ok",4656,동일CAS 대표값 n<3 — 중앙값의 신뢰도 부족
MIX654,"Alcohols, C9 – C11, ethoxylated 1 <",68439-46-3,전략2_CASmedian_n<3,,동일CAS_median,낮음,"동일CAS n=0, pct_status=ok",4668,동일CAS 대표값 n<3 — 중앙값의 신뢰도 부족
EyeIrritation6pack_PID276,3.2 Hazardous components,872-50-4,전략2_CASmedian_n<3,45.3,동일CAS_median,낮음,"동일CAS n=2, pct_status=ok",573,동일CAS 대표값 n<3 — 중앙값의 신뢰도 부족
MIX276,Toluene,108-88-3,전략2_CASmedian_n<3,40.0,동일CAS_median,낮음,"동일CAS n=2, pct_status=ok",3140,동일CAS 대표값 n<3 — 중앙값의 신뢰도 부족
MIX399,"E This section includes the formula, formula n-Butyl alcohol CH 3 (CH 2 ) 2 CH 2 OH",71-36-3,전략2_CASmedian_n<3,0.3,동일CAS_median,낮음,"동일CAS n=2, pct_status=ok",3652,동일CAS 대표값 n<3 — 중앙값의 신뢰도 부족
EyeIrritation6pack_PID737,Myclobutanil 21.7,88671-89-0,전략2_CASmedian_n<3,9.7,동일CAS_median,낮음,"동일CAS n=2, pct_status=ok",1606,동일CAS 대표값 n<3 — 중앙값의 신뢰도 부족
MIX936,"2,4-DIMETHYL-2-(1,1,4,4 TETRAMETHYLTETRALIN-6-YL) 1,3-DIOXOLANE (TRANS & CIS ISOMERS)",131812-67-4,전략2_CASmedian_n<3,,동일CAS_median,낮음,"동일CAS n=0, pct_status=ok",5191,동일CAS 대표값 n<3 — 중앙값의 신뢰도 부족
EyeIrritation6pack_PID288,Index No 607,421-00-4,전략2_CASmedian_n<3,,동일CAS_median,낮음,"동일CAS n=0, pct_status=ok",589,동일CAS 대표값 n<3 — 중앙값의 신뢰도 부족
EyeIrritation6pack_PID289,"Synonyms : cypermethrin,Cypermethrin, High Effect",86753-92-6,전략2_CASmedian_n<3,96.7,동일CAS_median,낮음,"동일CAS n=1, pct_status=ok",590,동일CAS 대표값 n<3 — 중앙값의 신뢰도 부족
EyeIrritation6pack_PID740,"E This section includes the formula, formula n-Butyl alcohol CH 3 (CH 2 ) 2 CH 2 OH",71-36-3,전략2_CASmedian_n<3,0.3,동일CAS_median,낮음,"동일CAS n=2, pct_status=ok",1614,동일CAS 대표값 n<3 — 중앙값의 신뢰도 부족
MIX28,Acetamiprid,135410-20-7,전략2_CASmedian_n<3,0.26,동일CAS_median,낮음,"동일CAS n=1, pct_status=ok",3153,동일CAS 대표값 n<3 — 중앙값의 신뢰도 부족
MIX126,3.2 Hazardous components,872-50-4,전략2_CASmedian_n<3,45.3,동일CAS_median,낮음,"동일CAS n=2, pct_status=ok",2642,동일CAS 대표값 n<3 — 중앙값의 신뢰도 부족
MIX380,Isopropyl Myristate 30.00,110-27-0,전략2_CASmedian_n<3,,동일CAS_median,낮음,"동일CAS n=0, pct_status=ok",3578,동일CAS 대표값 n<3 — 중앙값의 신뢰도 부족
EyeIrritation6pack_PID293,mol,121552-61-2,전략2_CASmedian_n<3,100.0,동일CAS_median,낮음,"동일CAS n=1, pct_status=ok",596,동일CAS 대표값 n<3 — 중앙값의 신뢰도 부족
EyeIrritation6pack_PID502,"Hydrofluoricacid T,C,R34",7664-39-3,전략2_CASmedian_n<3,,동일CAS_median,낮음,"동일CAS n=0, pct_status=ok",1109,동일CAS 대표값 n<3 — 중앙값의 신뢰도 부족
MIX403,Avermectin B1b,65195-56-4,전략2_CASmedian_n<3,92.0,동일CAS_median,낮음,"동일CAS n=1, pct_status=ok",3672,동일CAS 대표값 n<3 — 중앙값의 신뢰도 부족
EyeIrritation6pack_PID928,MCPB sodium salt (active ingredient),6062-26-6,전략2_CASmedian_n<3,41.0,동일CAS_median,낮음,"동일CAS n=1, pct_status=ok",2138,동일CAS 대표값 n<3 — 중앙값의 신뢰도 부족
EyeIrritation6pack_PID928,MCPA sodium salt (active ingredient),3653-48-3,전략2_CASmedian_n<3,3.0,동일CAS_median,낮음,"동일CAS n=1, pct_status=ok",2139,동일CAS 대표값 n<3 — 중앙값의 신뢰도 부족
EyeIrritation6pack_PID300,"Paraffin oils (petroleum), catalytic dewaxed >= 70 -<",64742-71-8,전략2_CASmedian_n<3,,동일CAS_median,낮음,"동일CAS n=0, pct_status=ok",602,동일CAS 대표값 n<3 — 중앙값의 신뢰도 부족
EyeIrritation6pack_PID301,"Synonyms : 1-Decene,decene",872-05-9,전략2_CASmedian_n<3,88.3,동일CAS_median,낮음,"동일CAS n=1, pct_status=ok",604,동일CAS 대표값 n<3 — 중앙값의 신뢰도 부족
MIX380,Geraniol 5.00,106-24-1,전략2_CASmedian_n<3,17.28,동일CAS_median,낮음,"동일CAS n=2, pct_status=ok",3580,동일CAS 대표값 n<3 — 중앙값의 신뢰도 부족
MIX405,Index No 612,252-00-4,전략2_CASmedian_n<3,,동일CAS_median,낮음,"동일CAS n=0, pct_status=ok",3679,동일CAS 대표값 n<3 — 중앙값의 신뢰도 부족
MIX285,Sodium Carbonate,497-19-8,전략2_CASmedian_n<3,20.0,동일CAS_median,낮음,"동일CAS n=2, pct_status=ok",3174,동일CAS 대표값 n<3 — 중앙값의 신뢰도 부족
MIX53,Metaflumizone HYDRAZINECARBOXAMIDE,139968-49-3,전략2_CASmedian_n<3,0.0615,동일CAS_median,낮음,"동일CAS n=2, pct_status=ok",4199,동일CAS 대표값 n<3 — 중앙값의 신뢰도 부족
EyeIrritation6pack_PID934,Zinc alkyl dithiophosphate ≥5 - <10,68649-42-3,전략2_CASmedian_n<3,0.5,동일CAS_median,낮음,"동일CAS n=1, pct_status=ok",2152,동일CAS 대표값 n<3 — 중앙값의 신뢰도 부족
MIX285,Sodium Dodecylbenzene Sulfonate,25155-30-0,전략2_CASmedian_n<3,10.0,동일CAS_median,낮음,"동일CAS n=2, pct_status=ok",3175,동일CAS 대표값 n<3 — 중앙값의 신뢰도 부족
MIX285,Trichloroisocyanuric Acid,87-90-1,전략2_CASmedian_n<3,,동일CAS_median,낮음,"동일CAS n=0, pct_status=ok",3176,동일CAS 대표값 n<3 — 중앙값의 신뢰도 부족
EyeIrritation6pack_PID756,"Lignosulfonic acid, sodium salt",8061-51-6,전략2_CASmedian_n<3,1.0,동일CAS_median,낮음,"동일CAS n=1, pct_status=ok",1643,동일CAS 대표값 n<3 — 중앙값의 신뢰도 부족
MIX960,Summer Savory (URL3 기재 CAS no.),84775-98-4,전략2_CASmedian_n<3,,동일CAS_median,낮음,"동일CAS n=0, pct_status=ok",5231,동일CAS 대표값 n<3 — 중앙값의 신뢰도 부족
EyeIrritation6pack_PID508,· Index number:608,55-00-8,전략2_CASmedian_n<3,,동일CAS_median,낮음,"동일CAS n=0, pct_status=ok",1136,동일CAS 대표값 n<3 — 중앙값의 신뢰도 부족
EyeIrritation6pack_PID511,Index No 613,58-00-2,전략2_CASmedian_n<3,,동일CAS_median,낮음,"동일CAS n=0, pct_status=ok",1140,동일CAS 대표값 n<3 — 중앙값의 신뢰도 부족
MIX966,Undecylenic aldehyde,112-45-8,전략2_CASmedian_n<3,,동일CAS_median,낮음,"동일CAS n=0, pct_status=ok",5237,동일CAS 대표값 n<3 — 중앙값의 신뢰도 부족
EyeIrritation6pack_PID938,Molecular Weight : 294.10,6132-04-3,전략2_CASmedian_n<3,,동일CAS_median,낮음,"동일CAS n=0, pct_status=ok",2166,동일CAS 대표값 n<3 — 중앙값의 신뢰도 부족
EyeIrritation6pack_PID514,Index No 607,315-00-8,전략2_CASmedian_n<3,,동일CAS_median,낮음,"동일CAS n=0, pct_status=ok",1143,동일CAS 대표값 n<3 — 중앙값의 신뢰도 부족
MIX141,"Paraffin oils (petroleum), catalytic dewaxed >= 70 -<",64742-71-8,전략2_CASmedian_n<3,,동일CAS_median,낮음,"동일CAS n=0, pct_status=ok",2681,동일CAS 대표값 n<3 — 중앙값의 신뢰도 부족
EyeIrritation6pack_PID516,Index No (GB CLP) 607,315-00-8,전략2_CASmedian_n<3,,동일CAS_median,낮음,"동일CAS n=0, pct_status=ok",1146,동일CAS 대표값 n<3 — 중앙값의 신뢰도 부족
EyeIrritation6pack_PID764,mol,7440-06-4,전략2_CASmedian_n<3,,동일CAS_median,낮음,"동일CAS n=0, pct_status=ok",1657,동일CAS 대표값 n<3 — 중앙값의 신뢰도 부족
EyeIrritation6pack_PID951,· Index number:603,197-00-7,전략2_CASmedian_n<3,,동일CAS_median,낮음,"동일CAS n=0, pct_status=ok",2172,동일CAS 대표값 n<3 — 중앙값의 신뢰도 부족
EyeIrritation6pack_PID1029,Potassium salt of glyphosate,70901-12-1,전략2_CASmedian_n<3,38.5,동일CAS_median,낮음,"동일CAS n=1, pct_status=ok",133,동일CAS 대표값 n<3 — 중앙값의 신뢰도 부족
EyeIrritation6pack_PID1029,"Alcohols, C12-16-alkyl ethers, propoxylated, aminated",176022-82-5,전략2_CASmedian_n<3,,동일CAS_median,낮음,"동일CAS n=0, pct_status=ok",134,동일CAS 대표값 n<3 — 중앙값의 신뢰도 부족
MIX98,Dolomite granules,16389-88-1,전략2_CASmedian_n<3,85.0,동일CAS_median,낮음,"동일CAS n=1, pct_status=ok",5254,동일CAS 대표값 n<3 — 중앙값의 신뢰도 부족
MIX98,Urea Granular,57-13-6,전략2_CASmedian_n<3,,동일CAS_median,낮음,"동일CAS n=0, pct_status=ok",5255,동일CAS 대표값 n<3 — 중앙값의 신뢰도 부족
MIX98,Potassium Chloride,7447-40-7,전략2_CASmedian_n<3,10.0,동일CAS_median,낮음,"동일CAS n=1, pct_status=ok",5256,동일CAS 대표값 n<3 — 중앙값의 신뢰도 부족
EyeIrritation6pack_PID961,Terbuthylazine,5915-41-3,전략2_CASmedian_n<3,4.0,동일CAS_median,낮음,"동일CAS n=2, pct_status=ok",2189,동일CAS 대표값 n<3 — 중앙값의 신뢰도 부족
EyeIrritation6pack_PID961,· Index number:613,323-00-2,전략2_CASmedian_n<3,,동일CAS_median,낮음,"동일CAS n=0, pct_status=ok",2190,동일CAS 대표값 n<3 — 중앙값의 신뢰도 부족
MIX417,Potassium salt of glyphosate,70901-12-1,전략2_CASmedian_n<3,38.5,동일CAS_median,낮음,"동일CAS n=1, pct_status=ok",3732,동일CAS 대표값 n<3 — 중앙값의 신뢰도 부족
EyeIrritation6pack_PID968,Potassium Sulfate 1-10,7778-80-5,전략2_CASmedian_n<3,,동일CAS_median,낮음,"동일CAS n=0, pct_status=ok",2200,동일CAS 대표값 n<3 — 중앙값의 신뢰도 부족
MIX991,Commiphora Myrrha;: -7. Section 3. Composition / information on ingredients. Name. EC. REACH Registration. No.. Contains,9000-45-7,전략2_CASmedian_n<3,,동일CAS_median,낮음,"동일CAS n=0, pct_status=ok",5278,동일CAS 대표값 n<3 — 중앙값의 신뢰도 부족
EyeIrritation6pack_PID970,Ammonium Polyphosphate Solution 00-10,68333-79-9,전략2_CASmedian_n<3,,동일CAS_median,낮음,"동일CAS n=0, pct_status=ok",2207,동일CAS 대표값 n<3 — 중앙값의 신뢰도 부족
EyeIrritation6pack_PID970,Potassium Dihydrogen Phosphate 00-10,7778-77-0,전략2_CASmedian_n<3,31.1,동일CAS_median,낮음,"동일CAS n=1, pct_status=ok",2208,동일CAS 대표값 n<3 — 중앙값의 신뢰도 부족
EyeIrritation6pack_PID970,"Potassium Phosphate, Dibasic KH PO 00-10",7758-11-4,전략2_CASmedian_n<3,,동일CAS_median,낮음,"동일CAS n=0, pct_status=ok",2209,동일CAS 대표값 n<3 — 중앙값의 신뢰도 부족
MIX30,Calcium Carbonate 15-90,471-34-1,전략2_CASmedian_n<3,,동일CAS_median,낮음,"동일CAS n=0, pct_status=ok",3231,동일CAS 대표값 n<3 — 중앙값의 신뢰도 부족
MIX30,Urea 15-40,57-13-6,전략2_CASmedian_n<3,,동일CAS_median,낮음,"동일CAS n=0, pct_status=ok",3232,동일CAS 대표값 n<3 — 중앙값의 신뢰도 부족
MIX30,Potassium Chloride 5-20,7447-40-7,전략2_CASmedian_n<3,10.0,동일CAS_median,낮음,"동일CAS n=1, pct_status=ok",3233,동일CAS 대표값 n<3 — 중앙값의 신뢰도 부족
EyeIrritation6pack_PID971,Limestone Dolomite 80-90,16389-88-1,전략2_CASmedian_n<3,85.0,동일CAS_median,낮음,"동일CAS n=1, pct_status=ok",2213,동일CAS 대표값 n<3 — 중앙값의 신뢰도 부족
EyeIrritation6pack_PID971,Potassium chloride Potash 5-15,7447-40-7,전략2_CASmedian_n<3,10.0,동일CAS_median,낮음,"동일CAS n=1, pct_status=ok",2214,동일CAS 대표값 n<3 — 중앙값의 신뢰도 부족
MIX30,Potassium Sulfate 5-20,7778-80-5,전략2_CASmedian_n<3,,동일CAS_median,낮음,"동일CAS n=0, pct_status=ok",3234,동일CAS 대표값 n<3 — 중앙값의 신뢰도 부족
MIX30,Monoammonium Phosphate 5-20,7722-76-1,전략2_CASmedian_n<3,,동일CAS_median,낮음,"동일CAS n=0, pct_status=ok",3235,동일CAS 대표값 n<3 — 중앙값의 신뢰도 부족
MIX30,Diammonium Phosphate 0-8,7783-28-0,전략2_CASmedian_n<3,,동일CAS_median,낮음,"동일CAS n=0, pct_status=ok",3236,동일CAS 대표값 n<3 — 중앙값의 신뢰도 부족
MIX30,"Iron Oxide, Saccharated 0-4",8047-67-4,전략2_CASmedian_n<3,,동일CAS_median,낮음,"동일CAS n=0, pct_status=ok",3237,동일CAS 대표값 n<3 — 중앙값의 신뢰도 부족
EyeIrritation6pack_PID538,ORTHO HOME DEFENSE MAX INSECT KILLER FOR INDOOR& PERIMETER. The Ortho Group. Revision date,2015-04-1,전략2_CASmedian_n<3,,동일CAS_median,낮음,"동일CAS n=0, pct_status=ok",1191,동일CAS 대표값 n<3 — 중앙값의 신뢰도 부족
MIX543,Debacarb,62732-91-6,전략2_CASmedian_n<3,,동일CAS_median,낮음,"동일CAS n=0, pct_status=ok",4272,동일CAS 대표값 n<3 — 중앙값의 신뢰도 부족
MIX543,Tetrahydrofurfuryl alcohol (THFA),97-99-4,전략2_CASmedian_n<3,45.0,동일CAS_median,낮음,"동일CAS n=1, pct_status=ok",4274,동일CAS 대표값 n<3 — 중앙값의 신뢰도 부족
MIX547,"2,3-Bis(bromomethyl)quinoxaline-1,4-dioxide",18080-67-6,전략2_CASmedian_n<3,,동일CAS_median,낮음,"동일CAS n=0, pct_status=ok",4284,동일CAS 대표값 n<3 — 중앙값의 신뢰도 부족
EyeIrritation6pack_PID55,Tembotrione,335104-84-2,전략2_CASmedian_n<3,,동일CAS_median,낮음,"동일CAS n=0, pct_status=ok",1213,동일CAS 대표값 n<3 — 중앙값의 신뢰도 부족
MIX428,mol,7440-06-4,전략2_CASmedian_n<3,,동일CAS_median,낮음,"동일CAS n=0, pct_status=ok",3779,동일CAS 대표값 n<3 — 중앙값의 신뢰도 부족
MIX308,Copper sulfate,7758-98-7,전략2_CASmedian_n<3,,동일CAS_median,낮음,"동일CAS n=0, pct_status=ok",3270,동일CAS 대표값 n<3 — 중앙값의 신뢰도 부족
MIX308,Lignosulfonic acid,8062-15-5,전략2_CASmedian_n<3,,동일CAS_median,낮음,"동일CAS n=0, pct_status=ok",3271,동일CAS 대표값 n<3 — 중앙값의 신뢰도 부족
EyeIrritation6pack_PID788,Index No 603,197-00-7,전략2_CASmedian_n<3,,동일CAS_median,낮음,"동일CAS n=0, pct_status=ok",1741,동일CAS 대표값 n<3 — 중앙값의 신뢰도 부족
MIX310,Chemical Name: Mesosulfuron-methyl sodium salt,208465-19-4,전략2_CASmedian_n<3,,동일CAS_median,낮음,"동일CAS n=0, pct_status=ok",3279,동일CAS 대표값 n<3 — 중앙값의 신뢰도 부족
EyeIrritation6pack_PID1050,Publication,10-07-0,전략2_CASmedian_n<3,,동일CAS_median,낮음,"동일CAS n=0, pct_status=ok",208,동일CAS 대표값 n<3 — 중앙값의 신뢰도 부족
MIX313,methanol (-No),67-56-1,전략2_CASmedian_n<3,1.0,동일CAS_median,낮음,"동일CAS n=1, pct_status=ok",3285,동일CAS 대표값 n<3 — 중앙값의 신뢰도 부족
EyeIrritation6pack_PID793,Synonyms,365400-11-9,전략2_CASmedian_n<3,,동일CAS_median,낮음,"동일CAS n=0, pct_status=ok",1750,동일CAS 대표값 n<3 — 중앙값의 신뢰도 부족
EyeIrritation6pack_PID794,Synonyms : Pyridalyl,179101-81-6,전략2_CASmedian_n<3,100.0,동일CAS_median,낮음,"동일CAS n=1, pct_status=ok",1751,동일CAS 대표값 n<3 — 중앙값의 신뢰도 부족
MIX554,Ferric chloride hexahydrate,10025-77-1,전략2_CASmedian_n<3,,동일CAS_median,낮음,"동일CAS n=0, pct_status=ok",4312,동일CAS 대표값 n<3 — 중앙값의 신뢰도 부족
EyeIrritation6pack_PID1054,Ferric chloride hexahydrate,10025-77-1,전략2_CASmedian_n<3,,동일CAS_median,낮음,"동일CAS n=0, pct_status=ok",217,동일CAS 대표값 n<3 — 중앙값의 신뢰도 부족
EyeIrritation6pack_PID1055,"2,3-Bis(bromomethyl)quinoxaline-1,4-dioxide",18080-67-6,전략2_CASmedian_n<3,,동일CAS_median,낮음,"동일CAS n=0, pct_status=ok",219,동일CAS 대표값 n<3 — 중앙값의 신뢰도 부족
MIX178,"4,5-Dichloro-2-N-octyl-4-isothiazolin-3-one <0.075",64359-81-5,전략2_CASmedian_n<3,,동일CAS_median,낮음,"동일CAS n=0, pct_status=ok",2788,동일CAS 대표값 n<3 — 중앙값의 신뢰도 부족
MIX557,"Synonyms : oxamide,oxalamide",471-46-5,전략2_CASmedian_n<3,100.0,동일CAS_median,낮음,"동일CAS n=1, pct_status=ok",4325,동일CAS 대표값 n<3 — 중앙값의 신뢰도 부족
EyeIrritation6pack_PID798,quinoxyfen,124495-18-7,전략2_CASmedian_n<3,38.04,동일CAS_median,낮음,"동일CAS n=2, pct_status=ok",1768,동일CAS 대표값 n<3 — 중앙값의 신뢰도 부족
EyeIrritation6pack_PID798,· Index number:613,138-00-7,전략2_CASmedian_n<3,,동일CAS_median,낮음,"동일CAS n=0, pct_status=ok",1769,동일CAS 대표값 n<3 — 중앙값의 신뢰도 부족
EyeIrritation6pack_PID799,Methanol,67-56-1,전략2_CASmedian_n<3,1.0,동일CAS_median,낮음,"동일CAS n=1, pct_status=ok",1770,동일CAS 대표값 n<3 — 중앙값의 신뢰도 부족
MIX181,Potassium salt of glyphosate,70901-12-1,전략2_CASmedian_n<3,38.5,동일CAS_median,낮음,"동일CAS n=1, pct_status=ok",2796,동일CAS 대표값 n<3 — 중앙값의 신뢰도 부족
MIX182,"Synonyms : DPX,dpx mountant",14208-10-7,전략2_CASmedian_n<3,,동일CAS_median,낮음,"동일CAS n=0, pct_status=ok",2798,동일CAS 대표값 n<3 — 중앙값의 신뢰도 부족
MIX560,"Potassium hydroxide, KOH 5",1310-58-3,전략2_CASmedian_n<3,,동일CAS_median,낮음,"동일CAS n=0, pct_status=ok",4335,동일CAS 대표값 n<3 — 중앙값의 신뢰도 부족
EyeIrritation6pack_PID998,Propane/n-Butane 10-30,68476-86-8,전략2_CASmedian_n<3,35.0,동일CAS_median,낮음,"동일CAS n=2, pct_status=ok",2292,동일CAS 대표값 n<3 — 중앙값의 신뢰도 부족
EyeIrritation6pack_PID1062,"Synonyms : oxamide,oxalamide",471-46-5,전략2_CASmedian_n<3,100.0,동일CAS_median,낮음,"동일CAS n=1, pct_status=ok",248,동일CAS 대표값 n<3 — 중앙값의 신뢰도 부족
